WRB_PHASES,WRB4,WRB2,FAO90,ROOT_DEPTH,PHASE1,PHASE2,ROOTS,IL,SWR,DRAINAGE,AWC,ADD_PROP,LAYER,TOPDEP,BOTDEP,COARSE,SAND,SILT,CLAY,TEXTURE_USDA,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND
RGca,RGca,RG,RGc,,,,1.0,1.0,,MW,,0.0,D4,60,80,12,39,34,27,9.0,M,1.51,1.8099999,0.40799999,8.1000004,0.54000002,7,17,64,31,31,98,0,2,9.1000004,1.3,2
CMdy,CMdy,CM,CMd,,,,2.0,2.0,,MW,,0.0,D3,40,60,24,46,34,20,9.0,M,1.39,1.71,0.76800001,5.3000002,0.72000003,10,11,47,6,4,34,44,1,0.0,2.8,0
CMdy,CMdy,CM,CMd,,,,,,,MW,,0.0,D3,40,60,24,46,29,25,9.0,M,1.42,1.79,0.43699998,5.6999998,0.40000001,9,10,35,6,6,45,44,1,0.0,1.8,1
GLdy,GLdy,GL,GLd,,,,4.0,4.0,2.0,VP,,0.0,D2,20,40,9,35,33,32,5.0,M,1.27,1.87,0.829,5.0999999,0.82999998,10,12,28,7,6,36,44,1,0.0,0.0,1
LVha,LVha,LV,LVh,1.0,,,1.0,1.0,1.0,MW,159.0,0.0,D1,0,20,11,41,42,17,9.0,M,1.5,1.66,1.51,5.9000001,1.33,12,13,45,10,9,75,12,1,0.0,0.1,1
VRha,VRha,VR,VRe,,,,1.0,1.0,2.0,P,,3.0,D6,100,150,3,13,33,54,3.0,F,1.8099999,2.03,0.421,7.6999998,0.62,7,38,71,53,50,100,0,8,3.4000001,1.5,1
UMcm,,UM,CMu,,0.0,0.0,,,0.0,MW,,0.0,D3,40,60,31,45,42,13,9.0,M,1.39,1.5700001,1.1439999,5.8000002,1.01,12,14,73,11,7,56,48,1,0.0,1.6,1
PTab,PTab,PT,PTa,,,,,,,P,,3.0,D4,60,80,25,41,23,36,5.0,F,1.47,1.91,0.22499999,4.9000001,0.31999999,7,7,19,4,2,30,6,1,0.0,0.0,0
LVcc,LVcc,LV,LVk,1.0,,,,,,MW,137.0,0.0,D1,0,20,15,57,24,19,11.0,M,1.47,1.7,0.69800001,7.4000001,0.86000001,9,15,65,21,21,98,0,2,9.0,0.1,1
RGeu,RGeu,RG,RGe,,0.0,0.0,,,0.0,MW,,0.0,D5,80,100,11,66,19,15,11.0,C,1.54,1.63,0.244,6.6999998,0.37,10,10,49,3,3,69,0,6,0.0,2.4000001,1
